Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
2024-02-14,Capital Small Finance Bank Limited,523.07,6.64,4.05,2.49,4.0,468,435.0,-7.05,298.45,299.0,-36.23
2024-02-14,Rashi Peripherals Limited,600.0,143.66,62.75,10.44,59.71,311,335.0,7.72,280.35,280.4,-9.86
2024-02-12,Apeejay Surrendra Group (conglomerate),920.0,75.14,52.41,30.35,59.66,155,187.0,20.65,148.85,148.25,-3.97
2024-02-06,BLS E-Services Limited,309.29,123.3,300.14,237.0,162.47,135,309.0,128.89,185.85,185.5,37.67
2024-01-31,Nova Agritech Limited,143.81,79.31,224.08,77.12,109.37,41,56.0,36.59,50.4,50.14,22.93
2024-01-30,Epack Durable Limited,640.05,25.5,28.1,6.29,16.37,230,225.0,-2.17,377.85,376.9,64.28
2024-01-23,Medi Assist Healthcare Services Limited,1171.58,40.14,14.85,3.19,16.25,418,465.0,11.24,578.0,574.4,38.28
2024-01-16,Jyoti CNC Automation Limited,1000.0,44.13,36.48,26.17,38.53,331,372.0,12.39,914.75,912.0,176.36
2023-12-29,Innova Captab Limited,570.0,116.73,64.95,17.15,55.26,448,456.1,1.81,892.4,891.0,99.2
2023-12-28,Azad Engineering Limited,740.0,179.66,87.61,23.79,80.65,524,710.0,35.5,1481.25,1478.5,182.68
2023-12-27,Happy Forgings Limited,1008.59,220.48,62.17,15.09,82.04,850,1001.25,17.79,960.65,956.65,13.02
2023-12-27,Credo Brands Marketing Limited,549.78,104.95,55.52,19.94,51.85,280,282.0,0.71,120.1,120.2,-57.11
2023-12-27,RBZ Jewellers Limited,100.0,13.43,9.27,24.74,16.86,100,100.0,0.0,141.35,138.39,41.35
2023-12-26,Muthoot Microfin Limited,960.0,17.47,13.2,7.61,11.52,291,278.0,-4.47,146.1,147.59,-49.79
2023-12-26,Motisons Jewellers Limited,151.09,157.4,233.91,122.28,159.61,55,103.9,88.91,18.57,18.43,-66.24
2023-12-26,Suraj Estate Developers Limited,400.0,24.31,18.9,9.3,15.65,360,343.8,-4.5,286.1,283.95,-20.53
2023-12-21,Inox India Limited,1459.32,147.8,53.2,15.3,61.28,660,933.15,41.39,1109.95,1108.8,68.17
2023-12-20,Doms Industries Limited,1200.0,115.97,66.51,69.67,93.52,790,1400.0,77.22,2551.35,2553.9,222.96
2023-12-20,India Shelter Finance Limited,1200.0,89.7,28.51,9.95,36.71,493,612.7,24.28,918.05,917.5,86.22
2023-12-01,Flair Writing Instruments Limited,593.0,115.6,33.37,13.01,46.68,304,503.0,65.46,326.5,326.5,7.4
2023-11-30,Tata Technologies Limited,3042.51,203.41,62.11,16.5,69.43,500,1199.95,139.99,669.25,664.75,33.85
2023-11-30,Gandhar Oil Refineries Limited,500.69,129.0,62.23,28.95,64.07,169,295.4,74.79,149.55,149.59,-11.51
2023-11-30,Fedbank Financial Services Limited,1092.26,3.51,1.45,1.82,2.2,140,137.75,-1.61,130.25,130.0,-6.96
2023-11-29,Indian Renewable Energy Development Agency Limited (IREDA),2150.21,104.57,24.16,7.73,38.8,32,50.0,56.25,145.0,144.95,353.13
2023-11-15,ASK Automotive Limited,833.91,142.41,35.47,5.7,51.14,282,304.9,8.12,465.1,465.15,64.93
2023-11-13,Protean eGov Technologies Limited,489.95,46.94,31.62,8.93,23.86,792,792.0,0.0,719.8,722.85,-9.12
2023-11-10,ESAF Small Finance Bank Limited,463.0,173.52,84.37,16.97,73.15,60,71.9,19.83,30.03,29.98,-49.95
2023-11-07,Honasa Consumer Limited (Mamaearth),1701.44,11.5,4.02,1.35,7.61,324,324.0,0.0,265.55,267.25,-18.04
2023-11-06,Cello World Limited,1900.0,108.57,24.42,3.06,38.9,648,831.0,28.24,563.9,562.0,-12.98
2023-11-01,Blue Jet Healthcare Limited,840.27,13.72,13.59,2.24,7.95,346,359.9,4.02,780.55,782.75,125.59
2023-10-26,IRM Energy Limited,544.36,44.73,48.34,9.29,27.05,505,479.0,-5.15,277.0,277.8,-45.15
2023-10-12,Plaza Wires Limited,71.28,42.84,388.09,374.81,160.97,54,84.0,55.56,56.01,56.02,3.72
